timepoint_id,timestamp,timeseries
1,2020010300,2020_2020-01-03
2,2020012300,2020_2020-01-23
3,2020021300,2020_2020-02-13
4,2020021600,2020_2020-02-16
5,2020030600,2020_2020-03-06
6,2020033100,2020_2020-03-31
7,2020040300,2020_2020-04-03
8,2020041000,2020_2020-04-10
9,2020053000,2020_2020-05-30
10,2020051600,2020_2020-05-16
11,2020063000,2020_2020-06-30
12,2020061300,2020_2020-06-13
13,2020071800,2020_2020-07-18
14,2020071000,2020_2020-07-10
15,2020080300,2020_2020-08-03
16,2020082500,2020_2020-08-25
17,2020090600,2020_2020-09-06
18,2020091200,2020_2020-09-12
19,2020100500,2020_2020-10-05
20,2020102700,2020_2020-10-27
21,2020113000,2020_2020-11-30
22,2020112200,2020_2020-11-22
23,2020122800,2020_2020-12-28
24,2020120700,2020_2020-12-07
25,2030010300,2030_2030-01-03
26,2030012300,2030_2030-01-23
27,2030021300,2030_2030-02-13
28,2030021600,2030_2030-02-16
29,2030030600,2030_2030-03-06
30,2030033100,2030_2030-03-31
31,2030040300,2030_2030-04-03
32,2030041000,2030_2030-04-10
33,2030053000,2030_2030-05-30
34,2030051600,2030_2030-05-16
35,2030063000,2030_2030-06-30
36,2030061300,2030_2030-06-13
37,2030071800,2030_2030-07-18
38,2030071000,2030_2030-07-10
39,2030080300,2030_2030-08-03
40,2030082500,2030_2030-08-25
41,2030090600,2030_2030-09-06
42,2030091200,2030_2030-09-12
43,2030100500,2030_2030-10-05
44,2030102700,2030_2030-10-27
45,2030113000,2030_2030-11-30
46,2030112200,2030_2030-11-22
47,2030122800,2030_2030-12-28
48,2030120700,2030_2030-12-07
49,2040010300,2040_2040-01-03
50,2040012300,2040_2040-01-23
51,2040021300,2040_2040-02-13
52,2040021600,2040_2040-02-16
53,2040030600,2040_2040-03-06
54,2040033100,2040_2040-03-31
55,2040040300,2040_2040-04-03
56,2040041000,2040_2040-04-10
57,2040053000,2040_2040-05-30
58,2040051600,2040_2040-05-16
59,2040063000,2040_2040-06-30
60,2040061300,2040_2040-06-13
61,2040071800,2040_2040-07-18
62,2040071000,2040_2040-07-10
63,2040080300,2040_2040-08-03
64,2040082500,2040_2040-08-25
65,2040090600,2040_2040-09-06
66,2040091200,2040_2040-09-12
67,2040100500,2040_2040-10-05
68,2040102700,2040_2040-10-27
69,2040113000,2040_2040-11-30
70,2040112200,2040_2040-11-22
71,2040122800,2040_2040-12-28
72,2040120700,2040_2040-12-07
73,2050010300,2050_2050-01-03
74,2050012300,2050_2050-01-23
75,2050021300,2050_2050-02-13
76,2050021600,2050_2050-02-16
77,2050030600,2050_2050-03-06
78,2050033100,2050_2050-03-31
79,2050040300,2050_2050-04-03
80,2050041000,2050_2050-04-10
81,2050053000,2050_2050-05-30
82,2050051600,2050_2050-05-16
83,2050063000,2050_2050-06-30
84,2050061300,2050_2050-06-13
85,2050071800,2050_2050-07-18
86,2050071000,2050_2050-07-10
87,2050080300,2050_2050-08-03
88,2050082500,2050_2050-08-25
89,2050090600,2050_2050-09-06
90,2050091200,2050_2050-09-12
91,2050100500,2050_2050-10-05
92,2050102700,2050_2050-10-27
93,2050113000,2050_2050-11-30
94,2050112200,2050_2050-11-22
95,2050122800,2050_2050-12-28
96,2050120700,2050_2050-12-07
97,2020010304,2020_2020-01-03
98,2020012304,2020_2020-01-23
99,2020021304,2020_2020-02-13
100,2020021604,2020_2020-02-16
101,2020030604,2020_2020-03-06
102,2020033104,2020_2020-03-31
103,2020040304,2020_2020-04-03
104,2020041004,2020_2020-04-10
105,2020053004,2020_2020-05-30
106,2020051604,2020_2020-05-16
107,2020063004,2020_2020-06-30
108,2020061304,2020_2020-06-13
109,2020071804,2020_2020-07-18
110,2020071004,2020_2020-07-10
111,2020080304,2020_2020-08-03
112,2020082504,2020_2020-08-25
113,2020090604,2020_2020-09-06
114,2020091204,2020_2020-09-12
115,2020100504,2020_2020-10-05
116,2020102704,2020_2020-10-27
117,2020113004,2020_2020-11-30
118,2020112204,2020_2020-11-22
119,2020122804,2020_2020-12-28
120,2020120704,2020_2020-12-07
121,2030010304,2030_2030-01-03
122,2030012304,2030_2030-01-23
123,2030021304,2030_2030-02-13
124,2030021604,2030_2030-02-16
125,2030030604,2030_2030-03-06
126,2030033104,2030_2030-03-31
127,2030040304,2030_2030-04-03
128,2030041004,2030_2030-04-10
129,2030053004,2030_2030-05-30
130,2030051604,2030_2030-05-16
131,2030063004,2030_2030-06-30
132,2030061304,2030_2030-06-13
133,2030071804,2030_2030-07-18
134,2030071004,2030_2030-07-10
135,2030080304,2030_2030-08-03
136,2030082504,2030_2030-08-25
137,2030090604,2030_2030-09-06
138,2030091204,2030_2030-09-12
139,2030100504,2030_2030-10-05
140,2030102704,2030_2030-10-27
141,2030113004,2030_2030-11-30
142,2030112204,2030_2030-11-22
143,2030122804,2030_2030-12-28
144,2030120704,2030_2030-12-07
145,2040010304,2040_2040-01-03
146,2040012304,2040_2040-01-23
147,2040021304,2040_2040-02-13
148,2040021604,2040_2040-02-16
149,2040030604,2040_2040-03-06
150,2040033104,2040_2040-03-31
151,2040040304,2040_2040-04-03
152,2040041004,2040_2040-04-10
153,2040053004,2040_2040-05-30
154,2040051604,2040_2040-05-16
155,2040063004,2040_2040-06-30
156,2040061304,2040_2040-06-13
157,2040071804,2040_2040-07-18
158,2040071004,2040_2040-07-10
159,2040080304,2040_2040-08-03
160,2040082504,2040_2040-08-25
161,2040090604,2040_2040-09-06
162,2040091204,2040_2040-09-12
163,2040100504,2040_2040-10-05
164,2040102704,2040_2040-10-27
165,2040113004,2040_2040-11-30
166,2040112204,2040_2040-11-22
167,2040122804,2040_2040-12-28
168,2040120704,2040_2040-12-07
169,2050010304,2050_2050-01-03
170,2050012304,2050_2050-01-23
171,2050021304,2050_2050-02-13
172,2050021604,2050_2050-02-16
173,2050030604,2050_2050-03-06
174,2050033104,2050_2050-03-31
175,2050040304,2050_2050-04-03
176,2050041004,2050_2050-04-10
177,2050053004,2050_2050-05-30
178,2050051604,2050_2050-05-16
179,2050063004,2050_2050-06-30
180,2050061304,2050_2050-06-13
181,2050071804,2050_2050-07-18
182,2050071004,2050_2050-07-10
183,2050080304,2050_2050-08-03
184,2050082504,2050_2050-08-25
185,2050090604,2050_2050-09-06
186,2050091204,2050_2050-09-12
187,2050100504,2050_2050-10-05
188,2050102704,2050_2050-10-27
189,2050113004,2050_2050-11-30
190,2050112204,2050_2050-11-22
191,2050122804,2050_2050-12-28
192,2050120704,2050_2050-12-07
193,2020010308,2020_2020-01-03
194,2020012308,2020_2020-01-23
195,2020021308,2020_2020-02-13
196,2020021608,2020_2020-02-16
197,2020030608,2020_2020-03-06
198,2020033108,2020_2020-03-31
199,2020040308,2020_2020-04-03
200,2020041008,2020_2020-04-10
201,2020053008,2020_2020-05-30
202,2020051608,2020_2020-05-16
203,2020063008,2020_2020-06-30
204,2020061308,2020_2020-06-13
205,2020071808,2020_2020-07-18
206,2020071008,2020_2020-07-10
207,2020080308,2020_2020-08-03
208,2020082508,2020_2020-08-25
209,2020090608,2020_2020-09-06
210,2020091208,2020_2020-09-12
211,2020100508,2020_2020-10-05
212,2020102708,2020_2020-10-27
213,2020113008,2020_2020-11-30
214,2020112208,2020_2020-11-22
215,2020122808,2020_2020-12-28
216,2020120708,2020_2020-12-07
217,2030010308,2030_2030-01-03
218,2030012308,2030_2030-01-23
219,2030021308,2030_2030-02-13
220,2030021608,2030_2030-02-16
221,2030030608,2030_2030-03-06
222,2030033108,2030_2030-03-31
223,2030040308,2030_2030-04-03
224,2030041008,2030_2030-04-10
225,2030053008,2030_2030-05-30
226,2030051608,2030_2030-05-16
227,2030063008,2030_2030-06-30
228,2030061308,2030_2030-06-13
229,2030071808,2030_2030-07-18
230,2030071008,2030_2030-07-10
231,2030080308,2030_2030-08-03
232,2030082508,2030_2030-08-25
233,2030090608,2030_2030-09-06
234,2030091208,2030_2030-09-12
235,2030100508,2030_2030-10-05
236,2030102708,2030_2030-10-27
237,2030113008,2030_2030-11-30
238,2030112208,2030_2030-11-22
239,2030122808,2030_2030-12-28
240,2030120708,2030_2030-12-07
241,2040010308,2040_2040-01-03
242,2040012308,2040_2040-01-23
243,2040021308,2040_2040-02-13
244,2040021608,2040_2040-02-16
245,2040030608,2040_2040-03-06
246,2040033108,2040_2040-03-31
247,2040040308,2040_2040-04-03
248,2040041008,2040_2040-04-10
249,2040053008,2040_2040-05-30
250,2040051608,2040_2040-05-16
251,2040063008,2040_2040-06-30
252,2040061308,2040_2040-06-13
253,2040071808,2040_2040-07-18
254,2040071008,2040_2040-07-10
255,2040080308,2040_2040-08-03
256,2040082508,2040_2040-08-25
257,2040090608,2040_2040-09-06
258,2040091208,2040_2040-09-12
259,2040100508,2040_2040-10-05
260,2040102708,2040_2040-10-27
261,2040113008,2040_2040-11-30
262,2040112208,2040_2040-11-22
263,2040122808,2040_2040-12-28
264,2040120708,2040_2040-12-07
265,2050010308,2050_2050-01-03
266,2050012308,2050_2050-01-23
267,2050021308,2050_2050-02-13
268,2050021608,2050_2050-02-16
269,2050030608,2050_2050-03-06
270,2050033108,2050_2050-03-31
271,2050040308,2050_2050-04-03
272,2050041008,2050_2050-04-10
273,2050053008,2050_2050-05-30
274,2050051608,2050_2050-05-16
275,2050063008,2050_2050-06-30
276,2050061308,2050_2050-06-13
277,2050071808,2050_2050-07-18
278,2050071008,2050_2050-07-10
279,2050080308,2050_2050-08-03
280,2050082508,2050_2050-08-25
281,2050090608,2050_2050-09-06
282,2050091208,2050_2050-09-12
283,2050100508,2050_2050-10-05
284,2050102708,2050_2050-10-27
285,2050113008,2050_2050-11-30
286,2050112208,2050_2050-11-22
287,2050122808,2050_2050-12-28
288,2050120708,2050_2050-12-07
289,2020010312,2020_2020-01-03
290,2020012312,2020_2020-01-23
291,2020021312,2020_2020-02-13
292,2020021612,2020_2020-02-16
293,2020030612,2020_2020-03-06
294,2020033112,2020_2020-03-31
295,2020040312,2020_2020-04-03
296,2020041012,2020_2020-04-10
297,2020053012,2020_2020-05-30
298,2020051612,2020_2020-05-16
299,2020063012,2020_2020-06-30
300,2020061312,2020_2020-06-13
301,2020071812,2020_2020-07-18
302,2020071012,2020_2020-07-10
303,2020080312,2020_2020-08-03
304,2020082512,2020_2020-08-25
305,2020090612,2020_2020-09-06
306,2020091212,2020_2020-09-12
307,2020100512,2020_2020-10-05
308,2020102712,2020_2020-10-27
309,2020113012,2020_2020-11-30
310,2020112212,2020_2020-11-22
311,2020122812,2020_2020-12-28
312,2020120712,2020_2020-12-07
313,2030010312,2030_2030-01-03
314,2030012312,2030_2030-01-23
315,2030021312,2030_2030-02-13
316,2030021612,2030_2030-02-16
317,2030030612,2030_2030-03-06
318,2030033112,2030_2030-03-31
319,2030040312,2030_2030-04-03
320,2030041012,2030_2030-04-10
321,2030053012,2030_2030-05-30
322,2030051612,2030_2030-05-16
323,2030063012,2030_2030-06-30
324,2030061312,2030_2030-06-13
325,2030071812,2030_2030-07-18
326,2030071012,2030_2030-07-10
327,2030080312,2030_2030-08-03
328,2030082512,2030_2030-08-25
329,2030090612,2030_2030-09-06
330,2030091212,2030_2030-09-12
331,2030100512,2030_2030-10-05
332,2030102712,2030_2030-10-27
333,2030113012,2030_2030-11-30
334,2030112212,2030_2030-11-22
335,2030122812,2030_2030-12-28
336,2030120712,2030_2030-12-07
337,2040010312,2040_2040-01-03
338,2040012312,2040_2040-01-23
339,2040021312,2040_2040-02-13
340,2040021612,2040_2040-02-16
341,2040030612,2040_2040-03-06
342,2040033112,2040_2040-03-31
343,2040040312,2040_2040-04-03
344,2040041012,2040_2040-04-10
345,2040053012,2040_2040-05-30
346,2040051612,2040_2040-05-16
347,2040063012,2040_2040-06-30
348,2040061312,2040_2040-06-13
349,2040071812,2040_2040-07-18
350,2040071012,2040_2040-07-10
351,2040080312,2040_2040-08-03
352,2040082512,2040_2040-08-25
353,2040090612,2040_2040-09-06
354,2040091212,2040_2040-09-12
355,2040100512,2040_2040-10-05
356,2040102712,2040_2040-10-27
357,2040113012,2040_2040-11-30
358,2040112212,2040_2040-11-22
359,2040122812,2040_2040-12-28
360,2040120712,2040_2040-12-07
361,2050010312,2050_2050-01-03
362,2050012312,2050_2050-01-23
363,2050021312,2050_2050-02-13
364,2050021612,2050_2050-02-16
365,2050030612,2050_2050-03-06
366,2050033112,2050_2050-03-31
367,2050040312,2050_2050-04-03
368,2050041012,2050_2050-04-10
369,2050053012,2050_2050-05-30
370,2050051612,2050_2050-05-16
371,2050063012,2050_2050-06-30
372,2050061312,2050_2050-06-13
373,2050071812,2050_2050-07-18
374,2050071012,2050_2050-07-10
375,2050080312,2050_2050-08-03
376,2050082512,2050_2050-08-25
377,2050090612,2050_2050-09-06
378,2050091212,2050_2050-09-12
379,2050100512,2050_2050-10-05
380,2050102712,2050_2050-10-27
381,2050113012,2050_2050-11-30
382,2050112212,2050_2050-11-22
383,2050122812,2050_2050-12-28
384,2050120712,2050_2050-12-07
385,2020010316,2020_2020-01-03
386,2020012316,2020_2020-01-23
387,2020021316,2020_2020-02-13
388,2020021616,2020_2020-02-16
389,2020030616,2020_2020-03-06
390,2020033116,2020_2020-03-31
391,2020040316,2020_2020-04-03
392,2020041016,2020_2020-04-10
393,2020053016,2020_2020-05-30
394,2020051616,2020_2020-05-16
395,2020063016,2020_2020-06-30
396,2020061316,2020_2020-06-13
397,2020071816,2020_2020-07-18
398,2020071016,2020_2020-07-10
399,2020080316,2020_2020-08-03
400,2020082516,2020_2020-08-25
401,2020090616,2020_2020-09-06
402,2020091216,2020_2020-09-12
403,2020100516,2020_2020-10-05
404,2020102716,2020_2020-10-27
405,2020113016,2020_2020-11-30
406,2020112216,2020_2020-11-22
407,2020122816,2020_2020-12-28
408,2020120716,2020_2020-12-07
409,2030010316,2030_2030-01-03
410,2030012316,2030_2030-01-23
411,2030021316,2030_2030-02-13
412,2030021616,2030_2030-02-16
413,2030030616,2030_2030-03-06
414,2030033116,2030_2030-03-31
415,2030040316,2030_2030-04-03
416,2030041016,2030_2030-04-10
417,2030053016,2030_2030-05-30
418,2030051616,2030_2030-05-16
419,2030063016,2030_2030-06-30
420,2030061316,2030_2030-06-13
421,2030071816,2030_2030-07-18
422,2030071016,2030_2030-07-10
423,2030080316,2030_2030-08-03
424,2030082516,2030_2030-08-25
425,2030090616,2030_2030-09-06
426,2030091216,2030_2030-09-12
427,2030100516,2030_2030-10-05
428,2030102716,2030_2030-10-27
429,2030113016,2030_2030-11-30
430,2030112216,2030_2030-11-22
431,2030122816,2030_2030-12-28
432,2030120716,2030_2030-12-07
433,2040010316,2040_2040-01-03
434,2040012316,2040_2040-01-23
435,2040021316,2040_2040-02-13
436,2040021616,2040_2040-02-16
437,2040030616,2040_2040-03-06
438,2040033116,2040_2040-03-31
439,2040040316,2040_2040-04-03
440,2040041016,2040_2040-04-10
441,2040053016,2040_2040-05-30
442,2040051616,2040_2040-05-16
443,2040063016,2040_2040-06-30
444,2040061316,2040_2040-06-13
445,2040071816,2040_2040-07-18
446,2040071016,2040_2040-07-10
447,2040080316,2040_2040-08-03
448,2040082516,2040_2040-08-25
449,2040090616,2040_2040-09-06
450,2040091216,2040_2040-09-12
451,2040100516,2040_2040-10-05
452,2040102716,2040_2040-10-27
453,2040113016,2040_2040-11-30
454,2040112216,2040_2040-11-22
455,2040122816,2040_2040-12-28
456,2040120716,2040_2040-12-07
457,2050010316,2050_2050-01-03
458,2050012316,2050_2050-01-23
459,2050021316,2050_2050-02-13
460,2050021616,2050_2050-02-16
461,2050030616,2050_2050-03-06
462,2050033116,2050_2050-03-31
463,2050040316,2050_2050-04-03
464,2050041016,2050_2050-04-10
465,2050053016,2050_2050-05-30
466,2050051616,2050_2050-05-16
467,2050063016,2050_2050-06-30
468,2050061316,2050_2050-06-13
469,2050071816,2050_2050-07-18
470,2050071016,2050_2050-07-10
471,2050080316,2050_2050-08-03
472,2050082516,2050_2050-08-25
473,2050090616,2050_2050-09-06
474,2050091216,2050_2050-09-12
475,2050100516,2050_2050-10-05
476,2050102716,2050_2050-10-27
477,2050113016,2050_2050-11-30
478,2050112216,2050_2050-11-22
479,2050122816,2050_2050-12-28
480,2050120716,2050_2050-12-07
481,2020010320,2020_2020-01-03
482,2020012320,2020_2020-01-23
483,2020021320,2020_2020-02-13
484,2020021620,2020_2020-02-16
485,2020030620,2020_2020-03-06
486,2020033120,2020_2020-03-31
487,2020040320,2020_2020-04-03
488,2020041020,2020_2020-04-10
489,2020053020,2020_2020-05-30
490,2020051620,2020_2020-05-16
491,2020063020,2020_2020-06-30
492,2020061320,2020_2020-06-13
493,2020071820,2020_2020-07-18
494,2020071020,2020_2020-07-10
495,2020080320,2020_2020-08-03
496,2020082520,2020_2020-08-25
497,2020090620,2020_2020-09-06
498,2020091220,2020_2020-09-12
499,2020100520,2020_2020-10-05
500,2020102720,2020_2020-10-27
501,2020113020,2020_2020-11-30
502,2020112220,2020_2020-11-22
503,2020122820,2020_2020-12-28
504,2020120720,2020_2020-12-07
505,2030010320,2030_2030-01-03
506,2030012320,2030_2030-01-23
507,2030021320,2030_2030-02-13
508,2030021620,2030_2030-02-16
509,2030030620,2030_2030-03-06
510,2030033120,2030_2030-03-31
511,2030040320,2030_2030-04-03
512,2030041020,2030_2030-04-10
513,2030053020,2030_2030-05-30
514,2030051620,2030_2030-05-16
515,2030063020,2030_2030-06-30
516,2030061320,2030_2030-06-13
517,2030071820,2030_2030-07-18
518,2030071020,2030_2030-07-10
519,2030080320,2030_2030-08-03
520,2030082520,2030_2030-08-25
521,2030090620,2030_2030-09-06
522,2030091220,2030_2030-09-12
523,2030100520,2030_2030-10-05
524,2030102720,2030_2030-10-27
525,2030113020,2030_2030-11-30
526,2030112220,2030_2030-11-22
527,2030122820,2030_2030-12-28
528,2030120720,2030_2030-12-07
529,2040010320,2040_2040-01-03
530,2040012320,2040_2040-01-23
531,2040021320,2040_2040-02-13
532,2040021620,2040_2040-02-16
533,2040030620,2040_2040-03-06
534,2040033120,2040_2040-03-31
535,2040040320,2040_2040-04-03
536,2040041020,2040_2040-04-10
537,2040053020,2040_2040-05-30
538,2040051620,2040_2040-05-16
539,2040063020,2040_2040-06-30
540,2040061320,2040_2040-06-13
541,2040071820,2040_2040-07-18
542,2040071020,2040_2040-07-10
543,2040080320,2040_2040-08-03
544,2040082520,2040_2040-08-25
545,2040090620,2040_2040-09-06
546,2040091220,2040_2040-09-12
547,2040100520,2040_2040-10-05
548,2040102720,2040_2040-10-27
549,2040113020,2040_2040-11-30
550,2040112220,2040_2040-11-22
551,2040122820,2040_2040-12-28
552,2040120720,2040_2040-12-07
553,2050010320,2050_2050-01-03
554,2050012320,2050_2050-01-23
555,2050021320,2050_2050-02-13
556,2050021620,2050_2050-02-16
557,2050030620,2050_2050-03-06
558,2050033120,2050_2050-03-31
559,2050040320,2050_2050-04-03
560,2050041020,2050_2050-04-10
561,2050053020,2050_2050-05-30
562,2050051620,2050_2050-05-16
563,2050063020,2050_2050-06-30
564,2050061320,2050_2050-06-13
565,2050071820,2050_2050-07-18
566,2050071020,2050_2050-07-10
567,2050080320,2050_2050-08-03
568,2050082520,2050_2050-08-25
569,2050090620,2050_2050-09-06
570,2050091220,2050_2050-09-12
571,2050100520,2050_2050-10-05
572,2050102720,2050_2050-10-27
573,2050113020,2050_2050-11-30
574,2050112220,2050_2050-11-22
575,2050122820,2050_2050-12-28
576,2050120720,2050_2050-12-07
